index,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,channel two,Full_number_of_hits
71,0.00981,149.326019,50.224751,50.224751,11202,50.224748,50.224753,0.0,0.0,0,4
85,-0.00981,15.96878,50.320318,50.320318,52105,50.32032,50.320316,0.0,0.0,0,7
88,0.034335,15.619703,50.33113,50.33113,56730,50.331122,50.331139,0.0,0.0,0,5
90,0.004905,21.222788,50.331238,50.331238,56779,50.331237,50.331239,0.0,0.0,0,5
96,0.02943,19.463844,50.323384,50.323384,53414,50.323377,50.323391,0.0,0.0,0,6
132,-0.004905,69.855904,54.297476,54.297476,193715,54.297477,54.297475,0.0,0.0,0,14
133,-0.004905,168.243866,54.321399,54.321399,203955,54.3214,54.321398,0.0,0.0,0,15
134,-0.004905,629.412964,54.309436,54.309436,198835,54.309437,54.309435,0.0,0.0,0,21
135,-0.004905,822.067871,54.31542,54.31542,201395,54.315421,54.315419,0.0,0.0,0,21
136,-0.004905,785.625854,54.303455,54.303455,196275,54.303456,54.303454,0.0,0.0,0,20
