,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
65,-0.01962,128.300629,54.285514,54.285514,188595,54.285519,54.285509,0.0,0.0,0,8
66,-0.01962,170.679108,54.291495,54.291495,191155,54.2915,54.291491,0.0,0.0,0,8
67,-0.01962,29.340864,54.363268,54.363268,221875,54.363273,54.363263,0.0,0.0,0,3
68,-0.01962,67.266266,54.351308,54.351308,216755,54.351312,54.351303,0.0,0.0,0,6
69,-0.01962,110.968933,54.327384,54.327384,206515,54.327389,54.327379,0.0,0.0,0,8
70,-0.01962,60.191616,54.36925,54.36925,224435,54.369254,54.369245,0.0,0.0,0,5
71,-0.01962,88.205254,54.333363,54.333363,209075,54.333368,54.333358,0.0,0.0,0,7
72,-0.01962,135.165741,54.345326,54.345326,214195,54.345331,54.345321,0.0,0.0,0,9
73,-0.01962,471.579529,54.297475,54.297475,193715,54.297479,54.29747,0.0,0.0,0,15
74,-0.01962,1093.150146,54.3214,54.3214,203955,54.321405,54.321396,0.0,0.0,0,18
75,0.00981,62.79953,54.030162,54.030162,79306,54.03016,54.030165,0.0,0.0,0,7
76,-0.01962,4904.252441,54.303456,54.303456,196275,54.303461,54.303451,0.0,0.0,0,22
77,-0.01962,4053.47998,54.309435,54.309435,198835,54.30944,54.30943,0.0,0.0,0,21
78,-0.01962,5103.182617,54.315419,54.315419,201395,54.315424,54.315414,0.0,0.0,0,23
79,-0.073575,14.142493,54.56905,54.56905,49856,54.569067,54.569032,0.0,0.0,0,3
80,0.02943,37.998322,54.706921,54.706921,108854,54.706914,54.706928,0.0,0.0,0,5
81,0.04905,32.859535,55.645122,55.645122,250296,55.645111,55.645134,0.0,0.0,0,3
82,0.05886,26.957977,55.915124,55.915124,105757,55.91511,55.915138,0.0,0.0,0,4
83,0.004905,34.133816,55.82531,55.82531,67323,55.825309,55.825311,0.0,0.0,0,4
84,0.014715,18.828239,57.079792,57.079792,84036,57.079788,57.079795,0.0,0.0,0,2
85,0.024525,16.908056,57.279792,57.279792,169633,57.279786,57.279798,0.0,0.0,0,2
86,0.014715,25.505182,57.159791,57.159791,118275,57.159788,57.159795,0.0,0.0,0,3
87,0.024525,25.57543,57.19979,57.19979,135394,57.199784,57.199796,0.0,0.0,0,3
88,0.014715,30.70112,57.31979,57.31979,186753,57.319787,57.319794,0.0,0.0,0,4
89,0.004905,38.295692,58.420416,58.420416,137619,58.420415,58.420417,0.0,0.0,0,4
90,0.004905,43.85429,58.756253,58.756253,21258,58.756252,58.756254,0.0,0.0,0,4
91,0.02943,25.724283,58.814992,58.814992,46396,58.814984,58.814999,0.0,0.0,0,5
92,-0.004905,46.804096,59.054729,59.054729,149004,59.054731,59.054728,0.0,0.0,0,3
93,-0.004905,41.876698,59.115789,59.115789,175138,59.11579,59.115788,0.0,0.0,0,3
94,0.004905,29.294876,59.113988,59.113988,174365,59.113987,59.113989,0.0,0.0,0,5
95,-0.004905,22.34901,59.999443,59.999443,33140,59.999444,59.999441,0.0,0.0,0,3
96,0.004905,87.89682,62.206215,62.206215,197329,62.206214,62.206216,0.0,0.0,0,5
97,-0.004905,18.793781,62.429456,62.429456,32779,62.429457,62.429455,0.0,0.0,0,3
98,-0.004905,220.872635,62.425977,62.425977,31290,62.425978,62.425976,0.0,0.0,0,7
99,-0.004905,195.099777,62.414014,62.414014,26170,62.414015,62.414013,0.0,0.0,0,7
100,-0.004905,46.582066,62.431961,62.431961,33850,62.431962,62.43196,0.0,0.0,0,4
