,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
0,-0.004905,29.395941,47.54355,47.54355,164156,47.543551,47.543549,0.0,0.0,0,4
1,-0.004905,46.237492,47.531587,47.531587,159036,47.531588,47.531586,0.0,0.0,0,4
2,-0.004905,56.025852,47.555513,47.555513,169276,47.555514,47.555512,0.0,0.0,0,6
3,-0.004905,33.000095,47.597383,47.597383,187196,47.597384,47.597382,0.0,0.0,0,4
4,-0.004905,64.857979,47.573457,47.573457,176956,47.573458,47.573456,0.0,0.0,0,5
5,-0.004905,33.748688,47.598009,47.598009,187464,47.59801,47.598008,0.0,0.0,0,4
6,-0.004905,69.814362,47.567476,47.567476,174396,47.567477,47.567475,0.0,0.0,0,6
7,-0.004905,70.234222,47.579436,47.579436,179516,47.579438,47.579435,0.0,0.0,0,5
8,-0.004905,70.064766,47.586044,47.586044,182344,47.586045,47.586043,0.0,0.0,0,5
9,-0.004905,228.092392,47.549532,47.549532,166716,47.549533,47.54953,0.0,0.0,0,8
10,-0.004905,147.525299,47.580065,47.580065,179784,47.580066,47.580064,0.0,0.0,0,6
11,-0.004905,311.98584,47.561494,47.561494,171836,47.561496,47.561493,0.0,0.0,0,8
12,-0.004905,162.960251,47.592028,47.592028,184904,47.592029,47.592027,0.0,0.0,0,6
13,0.103005,18.883511,47.685056,47.685056,224705,47.685031,47.685081,0.0,0.0,0,20
14,0.044145,27.34174,47.97856,47.97856,90235,47.97855,47.978571,0.0,0.0,0,4
15,0.044145,33.610126,48.014449,48.014449,105595,48.014438,48.014459,0.0,0.0,0,4
16,0.044145,54.215466,47.960616,47.960616,82555,47.960605,47.960626,0.0,0.0,0,5
17,0.044145,73.803406,47.984542,47.984542,92795,47.984531,47.984552,0.0,0.0,0,5
18,0.044145,105.200157,47.990523,47.990523,95355,47.990512,47.990534,0.0,0.0,0,5
19,0.044145,68.646294,48.026412,48.026412,110715,48.026401,48.026422,0.0,0.0,0,4
20,0.03924,87.950203,48.001917,48.001917,100232,48.001908,48.001926,0.0,0.0,0,4
21,0.044145,381.709381,48.008467,48.008467,103035,48.008457,48.008478,0.0,0.0,0,7
