,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
0,-0.02943,14.964956,67.236502,67.236502,200639,67.236509,67.236495,0.0,0.0,0,2
1,-0.02943,186.219589,67.242483,67.242483,203199,67.24249,67.242476,0.0,0.0,0,4
2,-0.044145,32.218594,67.218556,67.218556,192960,67.218567,67.218546,0.0,0.0,0,3
3,-0.01962,153.862457,67.500213,67.500213,53408,67.500218,67.500209,0.0,0.0,0,6
4,0.073575,47.906769,70.665507,70.665507,107634,70.665489,70.665524,0.0,0.0,0,5
5,-0.083385,23.985083,70.975105,70.975105,240154,70.975125,70.975085,0.0,0.0,0,3
6,-0.08829,44.84388,71.004653,71.004653,252801,71.004674,71.004632,0.0,0.0,0,5
7,-0.08829,46.577431,70.99269,70.99269,247681,70.992712,70.992669,0.0,0.0,0,5
8,-0.08829,88.341751,70.974751,70.974751,240001,70.974772,70.97473,0.0,0.0,0,8
9,-0.083385,149.819916,70.99903,70.99903,250394,70.99905,70.99901,0.0,0.0,0,7
10,-0.08829,417.549408,70.998674,70.998674,250241,70.998695,70.998653,0.0,0.0,0,10
11,0.01962,32.955891,72.460343,72.460343,95524,72.460339,72.460348,0.0,0.0,0,3
12,0.01962,36.090981,72.472306,72.472306,100644,72.472301,72.472311,0.0,0.0,0,3
13,0.01962,220.365067,72.466325,72.466325,98084,72.46632,72.466329,0.0,0.0,0,7
14,-0.004905,27.267359,73.200357,73.200357,152148,73.200358,73.200355,0.0,0.0,0,4
15,-0.004905,23.027689,73.780461,73.780461,140332,73.780462,73.78046,0.0,0.0,0,5
16,-0.00981,27.220015,76.285407,76.285407,172040,76.28541,76.285405,0.0,0.0,0,2
17,-0.02943,65.097473,76.99951,76.99951,217575,76.999517,76.999503,0.0,0.0,0,4
18,0.201104,40.642094,78.675735,78.675735,154672,78.675686,78.675783,0.0,0.0,0,6
19,0.201104,123.149887,78.657786,78.657786,146992,78.657737,78.657834,0.0,0.0,0,9
20,0.201104,160.107864,78.669744,78.669744,152112,78.669696,78.669792,0.0,0.0,0,16
21,0.201104,257.570282,78.663758,78.663758,149552,78.663709,78.663806,0.0,0.0,0,19
22,-0.735747,16.128954,79.197604,79.197604,118026,79.19778,79.197427,0.0,0.0,0,2
23,-1.383204,10.184982,79.197262,79.197262,117946,79.197593,79.19693,0.0,0.0,0,2
24,-1.15267,14.972013,79.197289,79.197289,117934,79.197565,79.197013,0.0,0.0,0,2
25,0.799512,11.218181,79.197381,79.197381,117773,79.197189,79.197572,0.0,0.0,0,2
26,1.16248,23.433455,79.197297,79.197297,117700,79.197018,79.197576,0.0,0.0,0,2
27,2.177811,20.143513,79.197064,79.197064,117496,79.196542,79.197586,0.0,0.0,0,2
28,2.41325,10.085003,79.197006,79.197006,117447,79.196427,79.197584,0.0,0.0,0,2
29,2.962607,17.462122,79.196883,79.196883,117338,79.196173,79.197593,0.0,0.0,0,2
30,2.928273,11.357396,79.196926,79.196926,117360,79.196224,79.197628,0.0,0.0,0,2
31,0.024525,136.845184,79.625429,79.625429,40957,79.625423,79.625435,0.0,0.0,0,4
