,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
65,-0.004905,43.941795,74.583407,74.583407,223888,74.583408,74.583406,0.0,0.0,0,4
66,-0.004905,33.735329,74.607959,74.607959,234396,74.60796,74.607958,0.0,0.0,0,4
67,-0.004905,548.933716,74.577426,74.577426,221328,74.577427,74.577424,0.0,0.0,0,9
68,-0.004905,64.819435,75.401823,75.401823,53970,75.401824,75.401822,0.0,0.0,0,4
69,-0.004905,22.177219,75.76224,75.76224,208225,75.762241,75.762239,0.0,0.0,0,4
70,-0.004905,35.583988,76.22622,76.22622,146708,76.226221,76.226219,0.0,0.0,0,4
71,-0.004905,531.46106,77.44755,77.44755,149233,77.447551,77.447548,0.0,0.0,0,9
72,-0.004905,29.846046,77.81993,77.81993,48512,77.819931,77.819928,0.0,0.0,0,4
73,-0.004905,31.117701,77.905548,77.905548,85156,77.90555,77.905547,0.0,0.0,0,4
74,-0.004905,31.606697,77.893586,77.893586,80036,77.893587,77.893584,0.0,0.0,0,4
75,-0.004905,45.227692,77.886978,77.886978,77208,77.886979,77.886977,0.0,0.0,0,4
76,-0.004905,70.759491,77.875015,77.875015,72088,77.875016,77.875014,0.0,0.0,0,4
77,-0.004905,143.365906,77.899565,77.899565,82596,77.899566,77.899563,0.0,0.0,0,7
78,-0.004905,119.193916,77.91153,77.91153,87716,77.911531,77.911529,0.0,0.0,0,6
79,-0.004905,227.651398,77.880994,77.880994,74648,77.880995,77.880993,0.0,0.0,0,7
80,-0.004905,176.692734,77.869031,77.869031,69528,77.869032,77.86903,0.0,0.0,0,7
81,-0.004905,64.016769,78.30248,78.30248,255039,78.302482,78.302479,0.0,0.0,0,4
82,-0.004905,31.413172,78.271947,78.271947,241971,78.271948,78.271946,0.0,0.0,0,4
83,-0.004905,83.793671,78.668879,78.668879,151758,78.66888,78.668878,0.0,0.0,0,4
84,-0.004905,35.950268,79.108307,79.108307,79733,79.108308,79.108306,0.0,0.0,0,4
85,-0.004905,80.929001,79.096344,79.096344,74613,79.096346,79.096343,0.0,0.0,0,4
86,-0.004905,153.09613,79.090363,79.090363,72053,79.090364,79.090362,0.0,0.0,0,6
87,-0.004905,166.328674,79.102326,79.102326,77173,79.102327,79.102325,0.0,0.0,0,6
88,-0.004905,39.817677,79.52381,79.52381,257564,79.523811,79.523809,0.0,0.0,0,4
89,-0.004905,71.135109,79.493276,79.493276,244496,79.493278,79.493275,0.0,0.0,0,5
90,-0.004905,27.530462,79.89619,79.89619,156843,79.896191,79.896189,0.0,0.0,0,4
91,-0.004905,25.879908,79.884227,79.884227,151723,79.884228,79.884226,0.0,0.0,0,4
92,-0.004905,42.672268,79.945294,79.945294,177859,79.945295,79.945293,0.0,0.0,0,4
93,-0.004905,57.674927,79.957257,79.957257,182979,79.957258,79.957255,0.0,0.0,0,4
