,Top_Hit_#,Drift_Rate,SNR,Uncorrected_Frequency,Corrected_Frequency,Index,freq_start,freq_end,SEFD_freq,Coarse_Channel_Number,Full_number_of_hits
0,-0.024525,100.95282,66.309444,66.309444,63966,66.30945,66.309438,0.0,0.0,0,19
1,-0.014715,39.080723,67.019454,67.019454,107744,67.019457,67.01945,0.0,0.0,0,4
2,-0.014715,29.383593,67.007491,67.007491,102624,67.007494,67.007487,0.0,0.0,0,3
3,-0.014715,149.936798,67.013472,67.013472,105184,67.013476,67.013469,0.0,0.0,0,5
4,-0.014715,117.54644,67.025435,67.025435,110304,67.025438,67.025431,0.0,0.0,0,5
5,-0.014715,20.750999,67.236503,67.236503,200638,67.236506,67.236499,0.0,0.0,0,2
6,-0.014715,51.936844,67.218556,67.218556,192958,67.21856,67.218553,0.0,0.0,0,3
7,-0.014715,18.451599,67.248466,67.248466,205758,67.248469,67.248462,0.0,0.0,0,2
8,-0.014715,299.532257,67.242484,67.242484,203198,67.242488,67.242481,0.0,0.0,0,6
9,0.004905,26.07317,68.403941,68.403941,180096,68.40394,68.403942,0.0,0.0,0,3
10,-0.004905,21.886312,68.290151,68.290151,131396,68.290152,68.29015,0.0,0.0,0,3
11,0.073575,120.618813,68.104969,68.104969,52136,68.104952,68.104987,0.0,0.0,0,27
12,-0.004905,13.823547,69.783225,69.783225,250225,69.783226,69.783224,0.0,0.0,0,4
13,0.004905,29.30648,69.70651,69.70651,217390,69.706509,69.706512,0.0,0.0,0,6
14,-0.004905,131.304657,69.700522,69.700522,214830,69.700523,69.700521,0.0,0.0,0,10
15,0.014715,24.536547,69.919179,69.919179,48314,69.919175,69.919182,0.0,0.0,0,21
16,0.004905,37.638157,69.971072,69.971072,70525,69.971071,69.971074,0.0,0.0,0,5
17,-0.034335,17.302767,69.918464,69.918464,48018,69.918472,69.918456,0.0,0.0,0,20
18,0.04905,94.317192,70.158978,70.158978,150942,70.158966,70.158989,0.0,0.0,0,3
19,0.04905,31.452169,70.164959,70.164959,153502,70.164947,70.164971,0.0,0.0,0,3
20,0.04905,116.891937,70.17094,70.17094,156062,70.170929,70.170952,0.0,0.0,0,5
21,0.04905,21.710451,70.176922,70.176922,158622,70.17691,70.176934,0.0,0.0,0,3
22,0.04905,37.399815,70.188885,70.188885,163742,70.188873,70.188897,0.0,0.0,0,3
23,0.04905,24.439569,70.182903,70.182903,161182,70.182892,70.182915,0.0,0.0,0,3
24,0.004905,24.458328,70.311473,70.311473,216215,70.311472,70.311474,0.0,0.0,0,8
25,0.073575,25.961956,70.159173,70.159173,151023,70.159155,70.15919,0.0,0.0,0,4
26,0.073575,32.624603,70.171136,70.171136,156143,70.171118,70.171153,0.0,0.0,0,4
27,-0.00981,79.704567,69.924444,69.924444,50574,69.924446,69.924442,0.0,0.0,0,24
28,-0.004905,21.020363,70.575047,70.575047,68925,70.575048,70.575045,0.0,0.0,0,7
29,0.034335,14.021764,70.691549,70.691549,118783,70.691541,70.691558,0.0,0.0,0,2
30,-0.004905,16.106787,70.733031,70.733031,136541,70.733033,70.73303,0.0,0.0,0,2
31,-0.04905,32.17844,70.640456,70.640456,96924,70.640467,70.640444,0.0,0.0,0,4
32,0.034335,17.674082,70.733419,70.733419,136703,70.733411,70.733428,0.0,0.0,0,2
33,-0.004905,22.872635,70.72705,70.72705,133981,70.727051,70.727049,0.0,0.0,0,2
